,districtcode,schoolyear,districtname,8th_math_percentmet,attendance,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
181,24040,2016-2017,Pellston Public Schools,35.0,94.62,0.0,46667,20.07,293
182,24040,2017-2018,Pellston Public Schools,5.0,93.82,2.94,46667,23.36,293
183,24040,2018-2019,Pellston Public Schools,33.3,93.56,2.86,46667,24.17,293
184,24040,2020-2021,Pellston Public Schools,10.0,93.19,0.0,46667,30.99,293
185,24070,2015-2016,Public Schools of Petoskey,59.2,94.57,2.78,54762,7.69,568
186,24070,2016-2017,Public Schools of Petoskey,51.6,94.25,2.22,54762,7.45,568
187,24070,2017-2018,Public Schools of Petoskey,62.1,93.33,1.67,54762,6.98,568
188,24070,2018-2019,Public Schools of Petoskey,61.7,91.18,0.0,54762,10.36,568
189,24070,2020-2021,Public Schools of Petoskey,47.1,88.53,0.0,54762,21.04,568
190,25030,2015-2016,Grand Blanc Community Schools,38.55,94.75,0.45,66229,12.23,1630
191,25030,2016-2017,Grand Blanc Community Schools,36.4,94.57,0.23,66229,14.18,1630
192,25030,2017-2018,Grand Blanc Community Schools,43.1,95.12,0.96,66229,14.53,1630
193,25030,2018-2019,Grand Blanc Community Schools,48.25,94.83,0.4,66229,16.21,1630
194,25030,2020-2021,Grand Blanc Community Schools,28.1,92.60,0.2,66229,23.52,1630
195,25050,2015-2016,Goodrich Area Schools,61.2,94.08,0.82,91406,10.3,106
196,25050,2016-2017,Goodrich Area Schools,56.8,94.51,0.0,91406,11.67,106
197,25050,2017-2018,Goodrich Area Schools,50.0,95.62,0.0,91406,11.95,106
198,25050,2018-2019,Goodrich Area Schools,59.9,96.15,0.0,91406,13.02,106
199,25050,2020-2021,Goodrich Area Schools,48.4,94.09,1.77,91406,18.47,106
200,25060,2015-2016,Bendle Public Schools,2.5,91.72,3.17,32975,44.91,629
201,25060,2016-2017,Bendle Public Schools,2.5,92.35,1.64,32975,49.83,629
202,25060,2017-2018,Bendle Public Schools,2.5,90.93,0.0,32975,51.73,629
203,25060,2018-2019,Bendle Public Schools,8.9,91.25,2.74,32975,49.25,629
204,25060,2020-2021,Bendle Public Schools,2.5,70.35,0.0,32975,54.16,629
205,25100,2015-2016,Fenton Area Public Schools,33.3,95.35,0.0,67493,2.6,792
206,25100,2016-2017,Fenton Area Public Schools,28.4,95.12,0.0,67493,5.66,792
207,25100,2017-2018,Fenton Area Public Schools,33.8,95.13,0.0,67493,8.3,792
208,25100,2018-2019,Fenton Area Public Schools,51.6,94.65,0.0,67493,11.39,792
209,25100,2020-2021,Fenton Area Public Schools,37.0,96.51,0.0,67493,24.14,792
210,25120,2015-2016,Flushing Community Schools,40.7,94.02,0.0,61855,10.89,904
211,25120,2016-2017,Flushing Community Schools,35.8,94.07,0.37,61855,11.07,904
212,25120,2017-2018,Flushing Community Schools,27.9,94.53,0.37,61855,11.92,904
213,25120,2018-2019,Flushing Community Schools,51.9,94.14,0.0,61855,13.39,904
214,25120,2020-2021,Flushing Community Schools,26.2,93.35,0.0,61855,18.69,904
215,25140,2015-2016,Davison Community Schools,39.6,96.68,1.08,52165,13.26,972
216,25140,2016-2017,Davison Community Schools,31.4,95.19,2.35,52165,15.68,972
217,25140,2017-2018,Davison Community Schools,40.2,94.77,0.5,52165,13.93,972
218,25140,2018-2019,Davison Community Schools,42.8,94.81,1.36,52165,14.01,972
219,25140,2020-2021,Davison Community Schools,40.8,91.09,2.24,52165,19.7,972
220,25150,2015-2016,Clio Area School District,12.3,95.14,1.95,54500,10.36,953
221,25150,2016-2017,Clio Area School District,19.3,95.64,0.66,54500,11.44,953
222,25150,2017-2018,Clio Area School District,21.9,95.12,1.94,54500,12.18,953
223,25150,2018-2019,Clio Area School District,30.8,94.98,1.88,54500,14.61,953
224,25150,2020-2021,Clio Area School District,25.2,90.54,0.0,54500,27.33,953
225,25180,2015-2016,Swartz Creek Community Schools,24.2,95.46,2.33,59967,7.05,1434
226,25180,2016-2017,Swartz Creek Community Schools,27.1,95.56,0.96,59967,8.28,1434
227,25180,2017-2018,Swartz Creek Community Schools,25.5,95.67,1.49,59967,7.9,1434
228,25180,2018-2019,Swartz Creek Community Schools,44.4,94.52,2.01,59967,8.63,1434
