,districtcode,schoolyear,districtname,8th_math_percentmet,english_language_learners_enrollment,attendance,english_language_learners_enrollment,admin_min_effective_percentage,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Bachelor's degree,Estimate Total Master's degree,fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
149,22025,2020-2021,Norway-Vulcan Area Schools,48.7,5,94.55,5,0.0,0.0,51714,907,246,16.19,141
150,23030,2015-2016,Charlotte Public Schools,39.7,17,95.10,17,0.0,0.66,62625,1575,618,21.14,915
151,23030,2016-2017,Charlotte Public Schools,34.8,16,95.05,16,0.0,0.64,62625,1575,618,16.95,915
152,23030,2017-2018,Charlotte Public Schools,29.9,15,94.18,15,0.0,0.0,62625,1575,618,18.56,915
153,23030,2018-2019,Charlotte Public Schools,30.5,16,93.84,16,0.0,0.0,62625,1575,618,16.59,915
154,23030,2020-2021,Charlotte Public Schools,22.5,10,92.85,10,0.0,0.0,62625,1575,618,19.98,915
155,23050,2015-2016,Eaton Rapids Public Schools,26.0,20,95.24,20,0.0,0.67,62780,1319,680,3.43,826
156,23050,2016-2017,Eaton Rapids Public Schools,20.0,10,94.92,10,0.0,0.67,62780,1319,680,6.59,826
157,23050,2017-2018,Eaton Rapids Public Schools,30.8,5,93.75,5,0.0,1.33,62780,1319,680,9.32,826
158,23050,2018-2019,Eaton Rapids Public Schools,24.5,21,94.07,21,0.0,0.0,62780,1319,680,10.1,826
159,23050,2020-2021,Eaton Rapids Public Schools,30.2,18,95.00,18,0.0,0.0,62780,1319,680,13.02,826
160,23060,2015-2016,Grand Ledge Public Schools,38.8,91,95.46,91,0.0,0.0,68002,6019,2703,9.79,1164
161,23060,2016-2017,Grand Ledge Public Schools,46.9,108,95.31,108,0.0,0.69,68002,6019,2703,11.2,1164
162,23060,2017-2018,Grand Ledge Public Schools,53.8,122,95.81,122,0.0,0.0,68002,6019,2703,12.21,1164
163,23060,2018-2019,Grand Ledge Public Schools,52.5,133,95.80,133,0.0,1.57,68002,6019,2703,12.59,1164
164,23060,2020-2021,Grand Ledge Public Schools,41.0,117,92.32,117,0.0,0.0,68002,6019,2703,20.65,1164
165,23080,2015-2016,Olivet Community Schools,41.7,5,95.77,5,0.0,1.11,58667,461,246,11.17,356
166,23080,2016-2017,Olivet Community Schools,33.9,5,95.09,5,0.0,0.0,58667,461,246,13.85,356
167,23080,2017-2018,Olivet Community Schools,43.1,5,94.40,5,0.0,0.0,58667,461,246,15.61,356
168,23080,2018-2019,Olivet Community Schools,48.4,5,95.36,5,0.0,1.15,58667,461,246,14.94,356
169,23080,2020-2021,Olivet Community Schools,34.5,5,95.45,5,0.0,1.31,58667,461,246,21.05,356
170,23090,2015-2016,Potterville Public Schools,24.7,5,93.72,5,20.0,10.94,55028,505,180,7.19,459
171,23090,2016-2017,Potterville Public Schools,24.7,5,93.25,5,0.0,1.72,55028,505,180,6.15,459
172,23090,2017-2018,Potterville Public Schools,2.5,5,93.36,5,0.0,1.56,55028,505,180,5.32,459
173,23090,2018-2019,Potterville Public Schools,18.0,5,93.28,5,0.0,1.64,55028,505,180,9.8,459
174,23090,2020-2021,Potterville Public Schools,28.6,5,92.68,5,0.0,1.64,55028,505,180,9.43,459
175,24020,2015-2016,Harbor Springs School District,59.5,5,94.87,5,0.0,1.47,64920,1366,653,21.62,163
176,24020,2016-2017,Harbor Springs School District,43.8,5,94.75,5,0.0,2.86,64920,1366,653,19.82,163
177,24020,2017-2018,Harbor Springs School District,51.5,5,94.49,5,0.0,1.15,64920,1366,653,20.22,163
178,24020,2018-2019,Harbor Springs School District,67.6,5,94.26,5,0.0,1.3,64920,1366,653,23.5,163
179,24020,2020-2021,Harbor Springs School District,41.4,5,95.61,5,0.0,0.53,64920,1366,653,33.82,163
180,24040,2015-2016,Pellston Public Schools,33.3,5,93.72,5,0.0,5.41,46667,505,253,16.83,293
181,24040,2016-2017,Pellston Public Schools,35.0,5,94.62,5,0.0,0.0,46667,505,253,20.07,293
182,24040,2017-2018,Pellston Public Schools,5.0,5,93.82,5,0.0,2.94,46667,505,253,23.36,293
183,24040,2018-2019,Pellston Public Schools,33.3,5,93.56,5,0.0,2.86,46667,505,253,24.17,293
184,24040,2020-2021,Pellston Public Schools,10.0,5,93.19,5,0.0,0.0,46667,505,253,30.99,293
185,24070,2015-2016,Public Schools of Petoskey,59.2,5,94.57,5,16.67,2.78,54762,2973,1307,7.69,568
186,24070,2016-2017,Public Schools of Petoskey,51.6,5,94.25,5,8.33,2.22,54762,2973,1307,7.45,568
187,24070,2017-2018,Public Schools of Petoskey,62.1,5,93.33,5,0.0,1.67,54762,2973,1307,6.98,568
188,24070,2018-2019,Public Schools of Petoskey,61.7,11,91.18,11,0.0,0.0,54762,2973,1307,10.36,568
189,24070,2020-2021,Public Schools of Petoskey,47.1,13,88.53,13,0.0,0.0,54762,2973,1307,21.04,568
190,25030,2015-2016,Grand Blanc Community Schools,38.55,294,94.75,294,0.0,0.45,66229,7760,3789,12.23,1630
191,25030,2016-2017,Grand Blanc Community Schools,36.4,270,94.57,270,0.0,0.23,66229,7760,3789,14.18,1630
192,25030,2017-2018,Grand Blanc Community Schools,43.1,280,95.12,280,0.0,0.96,66229,7760,3789,14.53,1630
193,25030,2018-2019,Grand Blanc Community Schools,48.25,254,94.83,254,0.0,0.4,66229,7760,3789,16.21,1630
194,25030,2020-2021,Grand Blanc Community Schools,28.1,257,92.60,257,0.0,0.2,66229,7760,3789,23.52,1630
195,25050,2015-2016,Goodrich Area Schools,61.2,14,94.08,14,0.0,0.82,91406,1645,844,10.3,106
196,25050,2016-2017,Goodrich Area Schools,56.8,15,94.51,15,0.0,0.0,91406,1645,844,11.67,106
197,25050,2017-2018,Goodrich Area Schools,50.0,20,95.62,20,0.0,0.0,91406,1645,844,11.95,106
198,25050,2018-2019,Goodrich Area Schools,59.9,19,96.15,19,0.0,0.0,91406,1645,844,13.02,106
199,25050,2020-2021,Goodrich Area Schools,48.4,12,94.09,12,0.0,1.77,91406,1645,844,18.47,106
200,25060,2015-2016,Bendle Public Schools,2.5,5,91.72,5,0.0,3.17,32975,257,39,44.91,629
201,25060,2016-2017,Bendle Public Schools,2.5,10,92.35,10,0.0,1.64,32975,257,39,49.83,629
202,25060,2017-2018,Bendle Public Schools,2.5,5,90.93,5,0.0,0.0,32975,257,39,51.73,629
203,25060,2018-2019,Bendle Public Schools,8.9,5,91.25,5,0.0,2.74,32975,257,39,49.25,629
204,25060,2020-2021,Bendle Public Schools,2.5,5,70.35,5,0.0,0.0,32975,257,39,54.16,629
205,25100,2015-2016,Fenton Area Public Schools,33.3,37,95.35,37,0.0,0.0,67493,3277,1529,2.6,792
206,25100,2016-2017,Fenton Area Public Schools,28.4,36,95.12,36,0.0,0.0,67493,3277,1529,5.66,792
207,25100,2017-2018,Fenton Area Public Schools,33.8,39,95.13,39,0.0,0.0,67493,3277,1529,8.3,792
208,25100,2018-2019,Fenton Area Public Schools,51.6,42,94.65,42,0.0,0.0,67493,3277,1529,11.39,792
209,25100,2020-2021,Fenton Area Public Schools,37.0,47,96.51,47,0.0,0.0,67493,3277,1529,24.14,792
210,25120,2015-2016,Flushing Community Schools,40.7,46,94.02,46,0.0,0.0,61855,3307,1578,10.89,904
211,25120,2016-2017,Flushing Community Schools,35.8,66,94.07,66,0.0,0.37,61855,3307,1578,11.07,904
212,25120,2017-2018,Flushing Community Schools,27.9,64,94.53,64,0.0,0.37,61855,3307,1578,11.92,904
213,25120,2018-2019,Flushing Community Schools,51.9,76,94.14,76,0.0,0.0,61855,3307,1578,13.39,904
214,25120,2020-2021,Flushing Community Schools,26.2,97,93.35,97,0.0,0.0,61855,3307,1578,18.69,904
215,25140,2015-2016,Davison Community Schools,39.6,46,96.68,46,0.0,1.08,52165,3128,1457,13.26,972
216,25140,2016-2017,Davison Community Schools,31.4,40,95.19,40,0.0,2.35,52165,3128,1457,15.68,972
217,25140,2017-2018,Davison Community Schools,40.2,42,94.77,42,0.0,0.5,52165,3128,1457,13.93,972
218,25140,2018-2019,Davison Community Schools,42.8,48,94.81,48,0.0,1.36,52165,3128,1457,14.01,972
219,25140,2020-2021,Davison Community Schools,40.8,38,91.09,38,0.0,2.24,52165,3128,1457,19.7,972
220,25150,2015-2016,Clio Area School District,12.3,15,95.14,15,8.33,1.95,54500,1441,569,10.36,953
221,25150,2016-2017,Clio Area School District,19.3,17,95.64,17,0.0,0.66,54500,1441,569,11.44,953
222,25150,2017-2018,Clio Area School District,21.9,21,95.12,21,0.0,1.94,54500,1441,569,12.18,953
223,25150,2018-2019,Clio Area School District,30.8,17,94.98,17,0.0,1.88,54500,1441,569,14.61,953
224,25150,2020-2021,Clio Area School District,25.2,19,90.54,19,0.0,0.0,54500,1441,569,27.33,953
225,25180,2015-2016,Swartz Creek Community Schools,24.2,32,95.46,32,0.0,2.33,59967,2121,1074,7.05,1434
226,25180,2016-2017,Swartz Creek Community Schools,27.1,29,95.56,29,0.0,0.96,59967,2121,1074,8.28,1434
227,25180,2017-2018,Swartz Creek Community Schools,25.5,51,95.67,51,0.0,1.49,59967,2121,1074,7.9,1434
228,25180,2018-2019,Swartz Creek Community Schools,44.4,49,94.52,49,0.0,2.01,59967,2121,1074,8.63,1434
229,25180,2020-2021,Swartz Creek Community Schools,24.7,28,92.56,28,0.0,1.27,59967,2121,1074,17.09,1434
