ISD Code,ISD Name,District Code,District Name,County Code,County Name,Entity Type,School Level,Locale,Fiscal Year,Revenue,Expenditures,Fund Balance,Years in Deficit,Pupil FTE Count,Resident Pupils Leaving,Non-Resident Pupils Coming,Current Ratio,Current Ratio Quartile,Fund Balance Change,Fund Balance Change Quartile,Operating Margin,Operating Margin Quartile,Debt Service Coverage Ratio,Debt Service Coverage Ratio Quartile,Days Cash on Hand,Days Cash on Hand Quartile,Fund Balance as % of Revenue,Fund Balance as % of Revenue Quartile,Fund Balance as % of Expenditure,Fund Balance as % of Expenditure Quartile,Revenue/Expenditure Ratio,Revenue/Expenditure Ratio Quartile,Enrollment Trend,Enrollment Trend Quartile,Compensation Trend,Compensation Trend Quartile
"78","Shiawassee Regional ESD","78000","Shiawassee Regional ESD  - District created from ISD","78","Shiawassee","ISD District","Elem thru High School","Rural: Fringe","2020","10898331.73","10859340.56","1464517.61","0.00","192.14",,"191.09","1.23","4","2.74","3","0.36","3",,,"123.49","1.00","13.44","3","22.72","2","1","3","-0.77","2","0.05","2"
"74","St. Clair County RESA","74000","St. Clair County RESA  - District created from ISD","74","St. Clair","ISD District","Elem thru High School","Suburb: Small","2020","16241756.24","15721752.60","5816311.90","0.00","174.01",,"174.48","2.76","2","9.82","2","4.5","2",,,"166.64","1.00","35.81","1","43.81","1","1.03","2","13.59","1","5.41","4"
"75","St. Joseph County ISD","75000","St. Joseph County ISD  - District created from ISD","75","St. Joseph","ISD District","Elem thru High School","Rural: Distant","2020","6807182.65","6392016.94","1696735.24","0.00","142.47",,"143.47","1.91","3","32.4","1","6.94","1",,,"144.22","1.00","24.93","2","37.56","1","1.06","1","-8.77","4","-0.47","2"
"28","Northwest Education Services","28000","Northwest Education Services  - District created from ISD","28","Grand Traverse","ISD District","Elem thru High School","Town: Remote","2020","12270120.45","14027488.23","2081103.36","0.00","368.25",,"392.64","1.51","3","-45.78","4","0.88","3",,,"117.45","1.00","16.96","2","28.93","1","0.87","4","-3.42","3","1.95","2"
"79","Tuscola ISD","79000","Tuscola ISD  - District created from ISD","79","Tuscola","ISD District","Elem thru High School","Rural: Fringe","2020","4963219.31","4761823.08","1764665.76","0.00","238.27",,"242.35","2.1","2","12.88","2","4.06","2",,,"186.17","1.00","35.55","1","60.62","1","1.04","1","-2.42","3","5.82","4"
"80","Van Buren ISD","80000","Van Buren ISD  - District created from ISD","80","Van Buren","ISD District","Elem thru High School","Rural: Distant","2020","12718716.94","12860941.87","2184117.22","0.00","288.20",,"288.50","1.57","3","-6.11","4","-0.17","4",,,"96.87","1.00","17.17","2","19.76","2","0.99","4","-3.98","4","3.69","3"
"81","Washtenaw ISD","81000","Washtenaw ISD  - District created from ISD","81","Washtenaw","ISD District","Elem thru High School","Suburb: Large","2020","23129954.05","22897349.50","4584829.58","0.00","248.73",,"250.88","1.46","4","5.34","3","1.01","3",,,"139.38","1.00","19.82","2","39.05","1","1.01","3","-4.52","4","2.81","3"
"82","Wayne RESA","82000","Wayne RESA  - District created from ISD","82","Wayne","ISD District","Elem thru High School","Suburb: Large","2020","109346623.66","107618714.30","15642296.86","0.00","45.93",,"50.00","1.33","4","12.42","2","5.75","1",,,"95.05","1.00","14.31","3","52.95","1","1.02","2","-15.91","4","9.44","4"
"83","Wexford-Missaukee ISD","83000","Wexford-Missaukee ISD  - District created from ISD","83","Wexford","ISD District","Elem thru High School","Rural: Fringe","2020","5031279.26","5728284.71","2249155.26","0.00","122.09",,"120.78","2.05","3","-23.66","4","-13.85","4",,,"213.89","1.00","44.7","1","83.81","1","0.88","4","19.72","1","2.34","3"
"17","Eastern Upper Peninsula ISD","17903","DeTour Arts and Technology Academy","17","Chippewa","PSA District","Elem thru High School","Rural: Remote","2020","856611.42","899790.65","83485.96","0.00","88.52",,"93.25","2.09","2","-34.09","4","-5.04","4",,,"4.22","4.00","9.75","4","9.28","4","0.95","4","-9.98","4",,
"23","Eaton RESA","23902","Relevant Academy of Eaton County","23","Eaton","PSA District","High School","Suburb: Large","2020","580581.21","759389.20","894935.90","0.00","52.27",,"49.75","36","1","-16.65","4","-30.8","4",,,"356.83","1.00","154.14","1","119.02","1","0.76","4","-31.54","4","12.5","4"
"28","Northwest Education Services","45901","Leelanau Montessori Public School Academy","45","Leelanau","PSA District","Elem_Middle School","Rural: Distant","2020","840092.14","869464.22","86272.19","0.00","61.25",,"62.00","1.37","4","-25.4","4","-3.5","4","10.88","3","78.52","2.00","10.27","3","11.78","3","0.97","4","-3.73","4",,
"33","Ingham ISD","33911","Michigan Connections Academy","33","Ingham","PSA District","Elem thru High School","Suburb: Large","2020","14425768.30","13435779.48","2748862.51","0.00","1597.47",,"1618.21","2.56","2","56.29","1","6.86","1",,,"59.69","3.00","19.06","2","20.46","2","1.07","1","-5.09","4",,
"41","Kent ISD","41923","Wellspring Preparatory High School","41","Kent","PSA District","High School","City: Midsize","2020","3702672.00","3700159.00","2513.00","0.00","383.40",,"393.26","1","4","472.44","1","0.07","4",,,"0.24","4.00","0.07","4","0.07","4","1","3","-9.31","4",,
"41","Kent ISD","41924","West Michigan Aviation Academy","41","Kent","PSA District","High School","Suburb: Large","2020","5846953.00","6187543.00","1054103.00","0.00","603.45",,"605.87","3.4","1","-24.42","4","5.16","2","11.34","3","27.62","4.00","18.03","2","19.17","2","0.94","4","0.05","2","-9.95","1"
"63","Oakland Schools","41925","Michigan Virtual Charter Academy","63","Oakland","PSA District","Elem thru High School","City: Midsize","2020","26714725.89","25864218.22","4963210.94","0.00","2810.28",,"2757.33","2.06","3","20.68","2","3.18","2",,,"68.00","2.00","18.58","2","19.7","2","1.03","2","-1.72","3",,
"82","Wayne RESA","82722","Detroit Leadership Academy","82","Wayne","PSA District","Elem thru High School","City: Large","2020","7995010.00","7898643.00","786668.00","0.00","697.70",,"715.00","1.56","3","13.96","2","1.21","3",,,"36.52","4.00","9.84","4","9.98","4","1.01","3","-10.67","4",,
"82","Wayne RESA","82723","Legacy Charter Academy","82","Wayne","PSA District","Elem_Middle School","City: Large","2020","7612649.00","7600931.00","19723.00","0.00","747.71",,"751.00","1.02","4","146.38","1","0.15","3",,,"0.95","4.00","0.26","4","0.26","4","1","3","0.42","2",,
"82","Wayne RESA","82724","University Yes Academy","82","Wayne","PSA District","Elem thru High School","City: Large","2020","5640909.27","4964083.86","2143228.79","0.00","538.09",,"540.00","5.6","1","46.16","1","12","1",,,"132.18","1.00","37.99","1","43.73","1","1.14","1","-1.39","3",,
