SchoolDistrict,Estimate Total,Estimate Total White alone,Estimate Total Black or African American alone,Estimate Total American Indian and Alaska Native alone,Estimate Total Asian alone,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),Estimate Total Enrolled in school Enrolled in grade 1 to grade 4,Estimate Total Enrolled in school Enrolled in grade 5 to grade 8,Estimate Total Enrolled in school Enrolled in grade 9 to grade 12,Estimate Total Regular high school diploma,Estimate Total Bachelor's degree,Estimate Total Master's degree,Estimate Median age -- Total,Estimate Median age -- Male,Estimate Median age -- Female,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months",Estimate Total Family households
Morrice Area Schools,4702,4600,4,6,11,0,10,67204,243,311,330,953,407,148,41.8,39.3,44.0,149,1408
Mount Clemens Community School District,21601,14706,5748,100,66,0,122,43511,1086,816,1052,4306,1787,617,40.3,39.3,42.2,2072,5207
Mount Morris Consolidated School District,13110,11622,906,110,60,0,67,35712,493,589,605,3197,542,183,42.0,40.0,46.0,1127,3492
Mount Pleasant City School District,46218,39012,1792,1889,1159,8,344,38679,1432,1596,1492,4488,4031,2506,23.3,23.9,23.0,1806,7279
Munising Public Schools,5935,4801,672,215,8,0,12,42500,193,198,255,1312,461,195,44.2,38.0,51.5,224,1125
Muskegon City School District,37443,23875,10257,308,88,0,375,31160,1919,2083,1752,6476,2206,784,34.6,33.5,35.4,5052,8377
Muskegon Heights School District,10735,2127,7993,116,14,0,17,29245,678,642,608,1916,260,189,30.0,28.3,32.0,2162,2571
Napoleon Community Schools,8321,8015,123,14,0,0,94,54559,236,551,546,2032,1153,183,47.6,44.4,51.1,226,2441
Elkton-Pigeon-Bay Port Schools,6621,6473,26,13,18,0,28,46995,327,296,299,1913,550,175,46.2,44.2,48.5,211,1847
Bentley Community Schools,6140,5549,317,4,21,0,26,52379,383,312,309,1345,449,132,42.1,42.6,41.8,406,1627
Benton Harbor Area Schools,29932,11958,16234,37,114,20,676,31164,1949,1503,1595,5295,1502,824,36.2,34.3,38.7,4886,7473
Benzie County Central School,14657,14001,50,295,68,7,4,53704,544,847,712,3266,1590,815,47.4,47.0,47.8,684,3617
Berkley School District,27045,23779,1694,118,496,0,173,82217,1446,1400,1308,2559,5737,3300,37.8,36.5,40.2,653,6807
Berrien Springs Public Schools,12694,8508,2369,90,895,15,298,48036,553,589,519,1256,1918,1311,36.4,35.3,38.1,665,2752
Big Bay de Noc School District,2384,1985,1,170,7,0,4,44712,73,93,129,726,161,103,55.4,55.4,55.5,82,739
Big Rapids Public Schools,19431,17576,935,80,285,0,103,39300,704,736,828,2462,1476,806,24.3,23.8,25.6,1102,3395
Birch Run Area School District,9012,8761,112,0,8,0,7,59911,382,366,428,2048,713,238,44.7,43.4,45.5,408,2502
Birmingham City School District,57394,49434,4461,102,1692,21,175,125425,3297,3281,3743,2836,14352,9824,44.3,43.5,45.3,448,15861
Blissfield Community Schools,6745,6421,30,112,5,0,8,54087,357,296,409,1449,729,269,41.3,38.5,44.6,302,1725
Bloomfield Hills School District,38345,30732,2495,71,3834,0,252,130029,1972,2571,2136,2152,9023,6105,48.5,47.5,49.6,462,11259
Bloomingdale Public School District,7484,6109,489,14,0,0,727,42446,402,460,495,1727,518,137,39.1,38.8,39.3,551,1818
Boyne City Public Schools,8343,7980,53,75,55,22,3,58847,336,426,455,1435,1183,654,47.5,47.0,48.0,234,2358
Boyne Falls Public School District,2024,1915,12,32,0,0,0,50735,82,113,85,484,184,85,42.9,39.7,45.0,132,501
Brandon School District,17387,16816,127,4,121,0,69,85279,889,1163,1083,3096,1933,992,44.0,43.9,44.0,666,4847
Breckenridge Community Schools,5562,5425,0,9,4,13,34,53082,253,266,344,1619,398,146,42.3,39.5,43.3,344,1635
Breitung Township Schools,10759,10268,76,223,59,0,49,49416,488,435,562,2448,1315,552,49.0,46.5,51.4,547,3005
